id	c_order	connections	languages	e_name	e_degree	e_major	e_period	e_grade	e_detail	e_activity
300515	2	"500+"	""	"CIPS"	"Full CIPS Accreditation"	""	"2003-2005"	""	""	""
300515	3	"500+"	""	"Aberdeen College"	"NVQ L3"	"Supply Chain Management"	"1989-1996"	""	""	""
300515	4	"500+"	""	"Aberdeen College"	"HND"	"Legal Services"	""	""	""	""
300515	5	"500+"	""	"Westhill Academy"	""	""	""	""	""	""
300569	1	"91"	""	"Aberdeen College"	""	"Accounts"	""	""	""	""
300569	2	"91"	""	"Banchory Academy"	""	""	""	""	""	""
300636	1	"500+"	""	"The University of Texas at Austin"	"Master of Science"	"Engineering Management"	"2006-2008"	""	""	""
300636	2	"500+"	""	"University of St. Thomas (TX)"	"MBA"	"Finance Marketing Management"	"1993-1995"	""	""	""
300636	3	"500+"	""	"University of Houston"	"BS"	"Mechanical Engineering"	"1981-1985"	""	""	""
300657	1	"171"	""	"University of Aberdeen"	"MSc"	"Project Managment"	"2006-2009"	""	""	""
300657	2	"171"	""	"Napier University"	"Bsc"	"Industrial Design"	"1992-1996"	""	""	""
300680	1	"393"	""	"University of Stirling"	"B.Sc in Environmental Science"	""	"1995-2000"	""	""	""
300680	2	"393"	""	"St.Aloysius College"	""	""	"1988-1995"	""	""	""
300697	1	"162"	""	"Auburn University"	"Bachelor of Civil Engineering"	"Civil Engineering"	"1994-1997"	""	""	""
300697	2	"162"	""	"James H Faulkner State Community College"	"Pre-Engineering"	"Pre-Engineering"	"1991-1994"	""	""	""
300797	1	"173"	"English-(Native or bilingual proficiency) | Spanish-(Limited working proficiency)"	"University of Florida"	"MS"	"Environmental Engineering Science"	"1981-1984"	""	"Program in Systems Ecology; three years experience as a graduate research assistant at the Center for Wetlands"	""
300797	2	"173"	"English-(Native or bilingual proficiency) | Spanish-(Limited working proficiency)"	"Union College"	"BS"	"Mathematics"	"1972-1976"	""	""	""
300854	1	"261"	""	"University of Sydney"	"Master of Commerce"	"Economics"	""	""	""	""
300854	2	"261"	""	"University of Central Florida"	""	""	""	""	""	""
300877	1	""	""	"Universidad de Puerto Rico"	"Civil Engineer"	"Engineering"	"1989-1995"	""	""	""
300885	1	"500+"	""	"The Open University"	"B.Sc.(Hons)"	"Structural Engineering & Materials Science"	"1992-1995"	"2"	""	""
300885	2	"500+"	""	"The Open University"	"BA"	"Design"	"1983-1992"	""	""	""
300914	1	"500+"	""	"UWS"	"Bachelor"	"Applied Science Environmental Management"	"2004-2004"	""	"Studied a Bachelor Degree in Applied Science"	""
300926	1	"172"	""	"University of Central Florida"	"Master of Science (M.S.)"	"Water Resources Engineering"	"2011-2014"	""	""	""
300926	2	"172"	""	"University of Florida"	"BS"	"Civil Engineering"	"2001-2005"	""	""	""
300947	1	"161"	""	"The Robert Gordon University"	"MSc"	"Purchasing and Supply Chain Management"	"2011-2013"	""	""	""
300947	2	"161"	""	"The Robert Gordon University"	"MSc"	"Marketing"	"2002-2004"	""	""	"RGU Hockey Club"
300947	3	"161"	""	"The Robert Gordon University"	"BA Hons"	"Business Studies"	"1998-2002"	""	""	"RGU Hockey Club"
300959	1	"315"	""	"The Robert Gordon University"	"BEng"	"Mechanical and Offshore Engineering"	"2003-2009"	""	"Evening Classes"	""
300990	1	"500+"	""	"The Open University in Scotland"	"BA (Hons)"	"Arts/Law"	"2013-2015"	""	""	""
300990	2	"500+"	""	"MCIPS"	"Masters of Chartered Purchasing and Supply"	""	"2013-2014"	""	""	""
301006	1	"80"	""	"University of Central Florida"	""	""	""	""	""	""
301076	1	"466"	""	"Glasgow College Of Building"	"Diploma"	"Concrete Technology and Construction"	"1972-1974"	""	""	""
301091	1	"479"	""	"University of Michigan - Stephen M. Ross School of Business"	""	"Strategic Human Resources"	"2011-2011"	""	"Certification."	""
301091	2	"479"	""	"University of Oklahoma"	"BA"	"Communication"	""	""	""	""
301111	1	"187"	""	"The Robert Gordon University"	"MSc"	"Project Management"	"2009-2012"	""	""	"PMI - Project Management InstituteAPM - Association of Project Management"
301111	2	"187"	""	"University of Calabar"	"BSc Geology"	"Geology/Earth Science General"	"1997-2000"	""	""	""
301111	3	"187"	""	"Fedral Polytechnic Nekede Owerri Imo State Nigeria"	"Diploma"	"Electrical and Electronics Engineering"	"1993-1997"	""	""	""
301146	1	"407"	""	"Florida State University"	"Bachelor of Science (BS)"	"Civil Engineering"	"1994-1996"	""	""	""
301210	1	"500+"	""	"Tulane University - A.B. Freeman School of Business"	"MBA"	"International Business and Finance"	"2007-2010"	""	""	""
301210	2	"500+"	""	"University of Louisiana at Lafayette"	"BSBA"	"Marketing and Management"	"1973-1978"	""	""	""
301214	1	"154"	"Japanese-(Elementary proficiency)"	"University of Arizona"	"MS"	"Applied Economics"	"2011-2013"	""	"Thesis: The Footprint of Growth: A Multi-Faceted Environmental Kuznets Curve Analysis of CO2 Emissions in the U.S."	""
301214	2	"154"	"Japanese-(Elementary proficiency)"	"Washington University in St. Louis"	"BA"	"Economics Film Studies"	"2006-2010"	""	" APEX Washington University's Interdisciplinary Journal of Undergraduate Scholarship."	"Theta Xi Fraternity/ KWUR 90.3 FM Campus Radio/ WUTV 48 Hour Film Festival/ Club Tennis"
301275	1	"110"	""	"Chartered Institute of Management"	"CMI Certificate/ SQA Level 5"	"Management and Team Leading"	"2010-2011"	"SQA Level 5"	""	""
301275	2	"110"	""	"Pearl Onion Training"	""	"Commercial Awareness"	"2011-2011"	""	""	""
301275	3	"110"	""	"Evolve Training"	""	"Confined Space Vessel Entry (With Self Breathing Apparatus) Escape Breathing Apparatus Awareness"	"2009-2009"	""	""	""
301275	4	"110"	""	"Aberdeen College"	""	"Excel for Windows Word for Windows"	"2002-2002"	""	""	""
301275	5	"110"	""	"Balmoral Group (In House Training)"	""	"Manual Handling Training"	"2008-2008"	""	""	""
301275	6	"110"	""	"Evolve Training"	""	"Health & Safety For Responsible Persons"	"2005-2005"	""	""	""
301275	7	"110"	""	"Balmoral Group (In House Training)"	""	"Forklift Truck Operator - Hyster Counterbalance 2500kg Side Shift"	"2000-2011"	""	"Yearly training to keep refreshed on this skill"	""
301284	1	"48"	""	"Vaal University of Technology"	"National Diploma"	"Electrical Engineering (Light Current)"	"2005-2007"	""	""	""
301284	2	"48"	""	"Vaal University"	""	""	""	""	""	""
301342	1	"76"	"Arabic"	"Alexandria University"	"BSCE"	"Civil Engineering"	"1974-1979"	""	""	""
301381	1	"430"	""	"Duncan of Jordanstone Dundee"	""	""	""	""	""	""
301381	2	"430"	""	"Harlaw Academy Aberdeen"	""	""	""	""	""	""
301393	1	"190"	""	"Nanyang Technological University"	"Master of Science"	"Digital Media Technology"	"2011-2012"	""	""	""
301393	2	"190"	""	"Pondicherry Engineering College Pondicherry India"	"B.Tech"	"Computer Science"	"2005-2009"	""	""	""
301393	3	"190"	""	"Petit Seminaire Higher Secondary School"	"Higher Secondary"	""	"1991-2005"	""	""	""
301425	1	"310"	""	"Newcastle"	"BSc (Hons)"	"Chemistry"	""	""	""	""
301444	1	"81"	""	"University of Central Florida"	"Ph.D."	"Behavioral Experimental and Environmental Economics"	"2005-2010"	""	""	""
301444	2	"81"	""	"Florida State University"	"Master's"	"Applied Economics"	"2001-2002"	""	""	""
301444	3	"81"	""	"Florida State University"	"Bachelor's"	"Economics"	"1996-2001"	""	"Minors in: Civil Engineering and Mathematics"	""
301444	4	"81"	""	"Hillsborough Senior High School"	""	""	""	""	""	""
301481	1	"60"	""	"University of Central Florida"	"Bachelor of Science"	"Environmental Engineering"	"2010-2012"	"3.82"	""	"Undergraduate Research Student/ Engineers Without Boarders"
301481	2	"60"	""	"University of North Florida"	"Associate's Degree"	"Civil Engineering"	"2007-2010"	"3.65"	""	""
301491	1	"288"	""	"University of Illinois at Urbana-Champaign"	"Ph.D."	"Electrical and Computer Engineering"	"2006-2010"	""	"At UIUC I was lucky enough to work with a number of top professors including Fei-Fei Li David Forsyth and Derek Hoiem (in chronological order). I published CVPR ICCV and ECCV papers on object recognition image retrieval and attributes. I receiv"	""
301491	2	"288"	""	"Harbin Institute of Technology"	"B.S."	""	"2001-2005"	""	""	""
301498	1	"52"	""	"University of Peshawar"	"Bachelor's degree"	"Computer Science"	"2003-2007"	"A"	""	""
301514	1	"500+"	""	"Rutgers The State University of New Jersey-New Brunswick"	"Communication"	"Public Relations; Radio Broadcasting"	"2006-2009"	""	""	""
301514	2	"500+"	""	"Marlboro High School"	""	"Arts Entertainment and Media Management"	"2000-2004"	""	"Cheerleading"	"CheerleadingChorusSoftball"
301533	1	"500+"	"French and Spanish"	"Northumbria University"	"LPC and CPE"	"Law"	"1996-1997"	""	""	"Football and Triathlon"
301533	2	"500+"	"French and Spanish"	"University of Central Lancashire"	"Bsc Hons Business Information Technology"	""	"1987-1991"	""	""	""
301533	3	"500+"	"French and Spanish"	"Dame Allan's boys school"	""	""	""	""	""	""
301534	1	"500+"	""	"University of Essex"	"PhD"	"Electronic System Desing"	"1991-1995"	""	""	""
301534	2	"500+"	""	"Democritus University of Thrace"	"Dipl EE"	"Electrical and Electronic Engineeing"	"1983-1989"	""	""	""
301537	1	"136"	""	"Oxford Brookes University"	"Bsc (Hons)"	"Geography"	"1984-1987"	""	"CIMA Qualified 1991 (ACMA) CGMA in 2011."	""
301567	1	"500+"	"English | Greek"	"University of Piraeus"	"M.Sc."	"E-learning"	"2010-2012"	"9.69/10"	""	""
301567	2	"500+"	"English | Greek"	"University of Piraeus"	"BSc"	"Digital Systems"	"2006-2010"	"7.3/10"	""	""
301595	1	"60"	""	"Moscow Aviation Institute (State Technical University) (MAI)"	"Degree in Mechanical Engineering (Moscow Aircraft University)"	""	""	""	""	""
301605	1	"214"	""	"Stanford University"	"MS"	"Electrical Engineernig"	"1997-2003"	""	"Passed Quals and was in PhD program until 01/2003 but didn't finish."	""
301605	2	"214"	""	"University of California Berkeley"	"BS"	"Electrical Engineering and Computer Science"	"1993-1997"	""	""	""
301616	1	"219"	""	"University of Central Florida"	"Master of Science (M.Sc.)"	"Statistical Computing"	"2009-2012"	"3.83"	""	""
301616	2	"219"	""	"University of Central Florida"	"Bachelor of Science"	"Economics/Mathemtics"	"2001-2004"	""	""	""
301616	3	"219"	""	"Tampa Catholic High School"	""	""	"1994-1998"	""	""	""
301616	4	"219"	""	"St. Stanislaus"	""	""	"1986-1994"	""	""	""
301636	1	"286"	""	"Temple University"	"BA"	"Film and Media Arts"	"2001-2003"	""	""	""
301636	2	"286"	""	"Temple University"	"Bachelor's Degree"	"Film and Media Arts; Film"	"2001-2003"	""	""	""
301636	3	"286"	""	"Pennsylvania State University-Happy Valley"	""	""	"1999-2001"	""	""	""
301664	1	"470"	""	"Tennessee Technological University"	"BS"	"Civil Engineering"	"1999-2003"	""	"1 year Internship with HNTB"	"ASCE"
301669	1	"26"	""	"Vanderbilt University"	"Ph.D"	"Development Urban and Water Economics"	"1984-2007"	""	""	""
301714	1	"353"	""	"Ohio University"	"WIP"	"Electronic Media"	"1995-1999"	""	""	""
301721	1	"248"	""	"Falkirk Technical College"	""	"One  year  Basic  Engineering  Certificate City&Guilds; Certificate in Vehicle Body Craft Studies"	"1972-1976"	"Credit passes"	""	""
301743	1	"500+"	""	"University College Dublin"	""	""	"2008-2009"	""	""	""
301743	2	"500+"	""	"University College Dublin"	""	""	"1995-2000"	""	""	""
301743	3	"500+"	""	"Cork Institute of Technology"	""	""	""	""	""	""
301746	1	"178"	""	"Nanyang Technological University"	"PhD"	"Electrical and Electric Engineering"	"2007-2011"	""	""	""
301746	2	"178"	""	"Xi'an University of Technology"	"Master"	"Signal and Information Processing"	"2003-2006"	""	""	""
301746	3	"178"	""	"Xi'an University of Technology"	"Bachelor"	"Mechanical Engineering"	"1999-2003"	""	""	""
301775	1	"7"	""	"University of KwaZulu-Natal / University of Natal"	"bachelor of social science"	"media and marketing"	"2008-2012"	""	""	""
301779	1	"106"	""	"Northwestern State University"	""	"Computer Science"	"1988-1990"	""	""	""
301779	2	"106"	""	"Community College of the Air Force"	""	"Inventory Management"	"1987-1990"	""	""	""
301798	1	"16"	""	"Inverurie Academy"	""	""	""	""	""	""
301806	1	"500+"	""	"University of Washington"	"Masters"	"Business Administration (MBA)"	"2006-2008"	""	""	""
301806	2	"500+"	""	"Washington State University"	"Bachelors"	"Business Administration"	"2001-2005"	""	""	""
301820	1	"500+"	""	"Aberdeen Technical College"	"HND Mechanical Engineering"	""	"2002-2003"	""	""	""
301820	2	"500+"	""	"Aberdeen Technical College"	"HNC Mechanical & Production Engineering"	""	"1999-2000"	""	""	""
301820	3	"500+"	""	"Thurso Technical College"	"ONC Mechanical and Production Engineering"	""	"1983-1988"	""	""	""
301842	1	"136"	""	"Southern New Hampshire University"	""	""	"2012-2013"	""	"Will be attending in the fall."	""
301842	2	"136"	""	"Plymouth State University"	""	"Social Science Teacher Education"	"1986-1989"	"Junior"	""	"Basketball Team"
301842	3	"136"	""	"Tewksbury High School"	""	""	""	""	""	""
301936	1	"500+"	"Italian"	"Yale University"	"MFA"	"Fine Art Cinema Studies"	"1967-1970"	""	""	""
301936	2	"500+"	"Italian"	"Pratt Institute"	"BFA"	"Painting Graphic Design"	""	""	""	""
301938	1	"135"	""	"American Film Institute (AFI)"	"MFA"	"Directing"	"2004-2006"	""	""	""
301981	1	"482"	""	"Eastern Kentucky University"	"Education"	"Math and Science"	"1994-1996"	""	""	""
301981	2	"482"	""	"University of Kentucky"	""	"Physical Therapy"	"1992-1993"	""	""	""
301981	3	"482"	""	"Saint Catherine Junior College"	"Pre-PT"	"Basketball"	"1991-1992"	""	""	"Played Basketball for the St. Catherine Patriots."
302064	1	"59"	""	"Boston spa school"	"10 GCSES"	"Maths English lit English langscience R.E Business studies Citizenship Media French"	"2002-2007"	""	""	""
302064	2	"59"	""	"park lane"	"A-level"	"Law"	""	""	""	""
302095	1	"27"	""	"University of Plymouth"	"BSc (Hons)"	"Marine Biology and Coastal Ecology"	"2007-2010"	""	""	"Marine Biology Society"
302095	2	"27"	""	"Cults Academy"	""	""	"2001-2007"	""	""	""
302122	1	"152"	""	"Dimokrition Panepistimion Thrakis"	"PhD"	"Biologically-Inspired Machine Vision"	"2002-2008"	""	""	"Chairman of IEEE Student Branch (2003-2005)Member of the Postgraduate Student Council"
302122	2	"152"	""	"Dimokrition Panepistimion Thrakis"	"Diploma"	"Electrical & Computer Engineering"	"1996-2002"	""	"Diploma Thesis on Smart Home Applications using LonWorks network technology."	""
302150	1	"43"	""	"St Ninians High School Kirkintilloch"	""	""	""	""	""	""
302151	1	"500+"	""	"Cranfield University"	"MSc"	"Electronic System Design"	"1989-1990"	""	""	""
302151	2	"500+"	""	"University of Bristol"	"BSc"	"Physics"	"1976-1979"	""	""	""
302238	1	"286"	""	"The Robert Gordon University"	"MBA"	"Masters of Business Administration"	"2009-2011"	""	""	""
302238	2	"286"	""	"APM"	"APMP (IPMA level D)"	"Project Management"	"2007-2007"	""	""	""
302238	3	"286"	""	"University of Aberdeen"	"MA (Hons)"	"Management Studies"	"1997-2002"	"2"	""	""
302250	1	"138"	""	"California State University-Chico"	"Information Systems"	"Computer Science"	"1984-1987"	""	""	""
302255	1	"500+"	""	"University of California Irvine"	"Master of Science"	"RF Analog IC Design Electrical Engineering"	"2004-2006"	""	"Thesis Title: Design of a CMOS Image Sensor using a Photodiode Active Pixel and Per-Pixel Correlated Double Sampling"	"*  Teaching Assistant/ ECE 170B/ Solid-State Circuit Design/ Winter 2005 & Winter 2006"
302255	2	"500+"	""	"University of California Irvine"	"Bachelor of Science"	"Electrical Engineering"	"2000-2004"	""	" Conference on Lasers and Electro Optics (CLEO/IQEC) May 2004"	""
302255	3	"500+"	""	"Stanford University"	""	"Leadership and Strategic Management"	""	""	""	""
302255	4	"500+"	""	"Palm Springs High"	""	""	""	""	""	""
302306	1	"500+"	""	"Washington State University"	"Bachelor of Arts"	"Business Administration"	"1994-1999"	""	""	"PSI Upsilon/ Peer Advising at Student Advising and Learning Center/ Instructor of Freshman Seminar at Student Advising and Learning Center"
302331	1	"330"	""	"Staffordshire University"	"Business"	""	"2001-2003"	""	""	""
302331	2	"330"	""	"Stoke-on-Trent Sixth Form College"	""	""	"1991-1993"	""	""	""
302331	3	"330"	""	"Heywood high"	""	""	"1986-1991"	""	""	""
302339	1	"163"	""	"The University of Hull"	"2.2 hons"	"Electronics and microwaves"	"1975-1979"	""	""	"Various sports and also part of the leadership team on the Christian Union"
302345	1	"170"	""	"Nanyang Technological University"	""	""	"2008-2012"	""	""	""
302345	2	"170"	""	"University of Science and Technology of China"	""	""	""	""	""	""
302357	1	"500+"	""	"Aberdeen Grammer"	"No"	"no"	"1971-1974"	""	""	""
302365	1	"43"	""	"St Chad's"	""	""	"1985-1990"	""	""	""
302391	1	"66"	""	"Bankhead Academy"	""	""	"1973-1974"	""	""	""
302391	2	"66"	""	"Inverurie Academy"	""	""	""	""	""	""
302429	1	"241"	""	"NIT I CSU I KHI Polytechnic"	""	"Engineering"	""	""	""	""
302435	1	"135"	""	"UCLA"	"on going"	"Statistical reasoning and quantitative methods"	"2010-2011"	""	""	""
302435	2	"135"	""	"Pasadena College"	""	"Communications"	"1990-1992"	""	""	""
302447	1	"19"	""	"Columbus State"	"Associates"	"Graphic Communications/Multi Media"	"2000-2003"	""	""	""
302450	1	"114"	""	"Carlton-Le-Willows Comprehensive School"	""	""	"1989-1991"	""	""	""
302450	2	"114"	""	"Fernwood Comprehensive School"	""	""	"1986-1989"	""	""	""
302454	1	"32"	""	"University of the West Indies Mona Jamaica"	"Bsc"	"Computer Science and Electronics"	"1999-2002"	""	""	""
302514	1	"146"	"English"	"Uniwersytet Zielonogorski"	"Bachelor of Science (BSc)"	"Computer Science"	"1997-2002"	""	""	""
302519	1	"263"	""	"Cranfield School of Management"	"Advanced Development Programme"	"Business Administration and Management General"	"2012-2013"	""	"The Cranfield Advanced Development Programme prepares high potential senior managers for business leadership roles. It raises your leadership contribution and shifts your focus from operational management to strategic leadership."	""
302519	2	"263"	""	"The Robert Gordon University"	"Bachelor of Science (BS)"	"Business Administration and Management General"	"1992-1997"	""	""	""
302549	1	"130"	""	"New York University Stern School of Business"	"Master of Business Administration (MBA)"	""	"1976-1978"	""	""	""
302549	2	"130"	""	"SUNY at Buffalo"	"Bachelor of Science (BS)"	""	""	""	""	""
302560	1	"233"	""	"Iowa State University"	""	"Theoretical Computer Science"	"1987-1989"	""	"Outstanding Teaching Assistant of the year 1988"	""
302560	2	"233"	""	"Buena Vista University"	"BS"	"Computer Science and Mathematics"	"1983-1987"	""	""	"Honor SocietyDebate TeamComputer Center Staff"
302569	1	"74"	""	"The Robert Gordon University"	"PG Dip"	"Human Resource Mangement"	"2004-2006"	"part-time"	""	""
302569	2	"74"	""	"Aberdeen University"	"Master of Arts (MA)"	"Management Studies & Sociology"	"1998-2002"	""	""	""
302575	1	"329"	""	"LeTourneau University"	"Bachelor of Science (BS)"	"Business Administration and Management General"	"1991-1994"	""	""	""
302587	1	"218"	""	"California State University-Los Angeles"	""	""	""	""	""	""
302596	1	"56"	""	"Die Kruin"	""	""	"1992-1995"	""	""	""
302610	1	"500+"	""	"ABSE"	""	"Business Analysis Studies"	"2010-2010"	""	"Business Analyst Studies"	""
302610	2	"500+"	""	"University of Houston"	""	""	"1996-1998"	""	""	""
302613	1	"237"	"Ingles-(Competencia profesional completa)"	"UBA INGENIERIA"	"Ingeniero Electromecanico orientacion Electricidad"	""	""	""	""	""
302613	2	"237"	"Ingles-(Competencia profesional completa)"	"Escuela Argentina de Negocios"	""	""	""	""	""	""
302613	3	"237"	"Ingles-(Competencia profesional completa)"	"Instituto Argentino del Envase"	"Tecnico en Envases"	""	""	""	""	""
302613	4	"237"	"Ingles-(Competencia profesional completa)"	"UCA"	""	""	""	""	""	""
302617	1	"85"	""	"Tullos Training College"	"SVQ level 3"	"Electrical"	"2005-2009"	""	""	""
302628	1	"97"	"French"	"St. Ursulas College"	"Higher School Certificate"	"Mathematics and Computer Science"	"1992-1997"	""	""	""
302658	1	"122"	""	"Open Learning"	"ACCA"	""	"2010-2014"	"Part Qualified"	""	""
302658	2	"122"	""	"Chartered Institute of Management"	"Diploma in Management"	""	"2011-2011"	""	""	""
302658	3	"122"	""	"Robert Gordon University"	"Bachelor of Science (BS)"	"Business Computing"	"1999-2003"	""	""	""
302674	1	"495"	""	"RMIT University"	"Bachelors of Engineering (Honors)"	"Electronics"	"1986-1990"	""	""	""
302674	2	"495"	""	"Caulfield Grammar School"	"High School Certificate"	"High School"	"1981-1985"	""	""	""
302717	1	"270"	""	"Fulford Comprehensive"	""	""	"1980-1986"	""	""	""
302737	1	"62"	""	"Excelsior College"	""	"Information Technology"	""	""	""	""
302737	2	"62"	""	"Oracle University"	""	""	""	""	""	""
302737	3	"62"	""	"University of the West Indies"	""	""	""	""	""	""
302774	1	"8"	""	"The American Registry of Medical Sonographers"	"RDMS"	""	"1998-1999"	""	""	""
302774	2	"8"	""	"Tirunelveli Medical College."	"MBBS."	"Bachelor of Medicine."	"1981-1987"	""	""	""
302814	1	"12"	""	"National University of Singapore"	"Ph.D"	"Image-based Modeling and Computer Vision"	"2007-2012"	""	""	""
302814	2	"12"	""	"National University of Singapore"	"Bachelor of Engineering"	"Computer Engineering"	"2003-2007"	""	""	""
302849	1	"386"	""	"Other"	"HND"	"Power Engineering"	"1963-1967"	""	""	""
302863	1	"500+"	"English-(Native or bilingual proficiency) | French-(Limited working proficiency)"	"Northwestern University"	"MBA"	"Marketing and Management & Strategy"	"1996-2000"	""	""	""
302863	2	"500+"	"English-(Native or bilingual proficiency) | French-(Limited working proficiency)"	"Michigan State University"	"BSEE"	"Electrical Engineering"	"1989-1993"	""	""	"Tau Beta Pi chapter president/ Shaw Hall resident assistant"
302863	3	"500+"	"English-(Native or bilingual proficiency) | French-(Limited working proficiency)"	"CSM training"	""	""	""	""	""	""
302869	1	"78"	""	"Columbia University - Fu Foundation School of Engineering and Applied Science"	"Bachelor of Science"	"Applied Mathematics"	"2007-2011"	""	"graduated magna cum laude"	""
302869	2	"78"	""	"Rock Bridge Senior High School"	"High School Diploma"	""	""	""	""	""
302884	1	"293"	""	"Marquette University"	"BSEE"	""	"1962-1967"	""	""	""
302884	2	"293"	""	"Gannon University"	"Master of Business Administration (MBA)"	""	""	""	""	""
302913	1	"337"	""	"University of Florida"	"CIS"	"Computer Science"	"1980-1984"	""	""	"IEEETreasurer of UF Sports Car ClubSCTE"
302916	1	"74"	"French German"	"Cambridge University"	"MA"	"English"	"1983-1986"	""	""	""
302916	2	"74"	"French German"	"Exeter School"	""	""	"1976-1983"	""	""	""
302972	1	"208"	""	"Golden Gate University"	"MS"	"Financial Engineering"	"2000-2002"	""	""	""
302972	2	"208"	""	"Quaid-e-Azam University Islamabad"	"MBA"	"Finance"	"1995-1997"	""	""	""
303001	1	"29"	""	"Northport V.A. School of Radiological Sciences"	""	"X-ray"	""	""	""	""
303004	1	"500+"	"French-(Native or bilingual proficiency) | English-(Native or bilingual proficiency) | German-(Elementary proficiency) | Russian-(Elementary proficiency)"	"Ecole Superieure d'Electricite"	"Master of Science (MS)"	"Electrical Electronics and Communications Engineering"	"1976-1979"	""	""	""
303015	1	"151"	""	"Fundacao de Ensino e Pesquisa de Itajuba - FEPI"	"Bacharel em Sistemas de Informacao"	"Tecnologia da Informacao"	"2006-2010"	""	""	""
303030	1	"114"	""	"University of Illinois at Chicago"	"MSEE"	"Electical Engineering"	"1989-1992"	""	""	""
303030	2	"114"	""	"University of Illinois at Chicago"	"BSEE"	"Electrical Engineering"	"1983-1988"	""	""	"Tau Beta Pi"
303030	3	"114"	""	"Lake Park High School"	""	""	"1979-1983"	""	""	""
303040	1	"23"	""	"Bates Technical College"	"Associate of Arts and Sciences (A.A.S.)"	"Marketing"	"2012-2013"	""	""	""
303040	2	"23"	""	"Phillips Junior College"	""	"Paralegal"	"1989-1990"	""	""	""
303040	3	"23"	""	"Hammond High School"	""	""	"1985-1989"	""	""	""
303064	1	"10"	""	"San Jose State University"	"BS"	"MANAGEMENT"	"2000-2004"	""	""	""
303131	1	"35"	"Chinese-(Native or bilingual proficiency) | English-(Full professional proficiency)"	"Catholic University of Leuven"	"Ph.D."	"Electrical Engineering Biomedical Imaging Pattern Recognition Artificial Intelligence"	"1984-1991"	""	""	"Member of the European Research Group of CAAC (Concerted Action in Automation of Cytogenetics) Project (1985-1991);Member of American Society of Microscopy (2003-present);Member of NIH Microscope Imaging Study Section/ Bioinformatics/Imaging St"
303139	1	"179"	""	"Queen's University"	"Bachelor's"	"Computing and the Creative Arts"	"2011-2014"	""	""	"Currently Enrolled at Queen's University"
303139	2	"179"	""	"Autodesk University"	"Certificate"	"Animation Instructor"	"2009-2010"	""	""	"Autodesk Certified Instructor program.Specialized in Maya/ Animation and Modelling."
303139	3	"179"	""	"Animation Mentor"	"Certificate"	"Advanced Character Animation"	"2007-2010"	""	""	"Animation Mentor Advanced Character Animation - Maya"
303139	4	"179"	""	"Softimage/Avid Education"	"Certificate"	"Animation Instructor"	"2006-2007"	""	""	"Softimage Instructor CertificateSpecialized in Animation and Modelling."
303139	5	"179"	""	"Loyalist College"	"Advanced Diploma"	"Animation"	"2003-2007"	""	""	"Graduated on Dean's list in the three year advanced animation diploma program at Loyalist College."
303139	6	"179"	""	"Avid/Softimage"	"Softimage Advanced Training Certificate"	"Animation"	"2006-2006"	""	"Specialized Softimage Training hosted by Bradley Gabe"	""
303139	7	"179"	""	"NDHS"	""	""	""	""	""	""
